word,frequency,song_count,song_percentage
不得,109,109,3.102761172786792
随意,23,13,0.3700540848277825
有人,152,65,1.8502704241389125
名字,115,49,1.394819242812411
透明,42,28,0.7970395673213778
靠近,121,66,1.8787361229718187
反正,45,17,0.48391688015940787
上海,65,39,1.1101622544833476
乐器,27,21,0.5977796754910333
伤痕,38,21,0.5977796754910333
夜深人静,20,12,0.3415883859948762
提醒,34,25,0.7116424708226587
随时,40,24,0.6831767719897524
一步,54,26,0.740108169655565
爱上你,68,30,0.8539709649871904
爱得,55,24,0.6831767719897524
究竟,38,21,0.5977796754910333
在乎,76,38,1.0816965556504412
今后,26,12,0.3415883859948762
请别,21,15,0.4269854824935952
女人,53,27,0.7685738684884714
原唱,99,99,2.818104184457728
维伴,522,34,0.9678337603188157
郎梓朔,53,32,0.9109023626530032
总监,294,155,4.412183319100484
音响,70,68,1.9356675206376315
何飚,63,63,1.7933390264730997
可爱,79,51,1.4517506404782237
卢炜,33,33,0.9393680614859093
打击乐,93,90,2.5619128949615715
刘效松,30,30,0.8539709649871904
李九君,33,33,0.9393680614859093
金天,28,28,0.7970395673213778
崔万平,28,24,0.6831767719897524
李海,33,33,0.9393680614859093
石行,68,33,0.9393680614859093
合音,57,46,1.3094221463136921
张炜,23,23,0.6547110731568461
竹君,22,22,0.6262453743239397
乐队,108,94,2.6757756902931966
统筹,240,187,5.323085681753487
边境,28,22,0.6262453743239397
灯光设计,33,33,0.9393680614859093
田为钧,33,33,0.9393680614859093
卢晓伟,34,34,0.9678337603188157
美梦,33,22,0.6262453743239397
一定,169,95,2.704241389126103
耳朵,33,21,0.5977796754910333
遗憾,107,69,1.964133219470538
你别,36,20,0.569313976658127
郑楠,89,35,0.9962994591517221
天生,33,17,0.48391688015940787
回答,56,32,0.9109023626530032
挣扎,58,36,1.0247651579846286
手里,22,16,0.4554511813265016
郭一凡,29,11,0.31312268716196984
国际,119,94,2.6757756902931966
首席,86,81,2.305721605465414
爱乐乐团,91,85,2.4195844007970395
赵靖,64,47,1.3378878451465983
李辉,21,11,0.31312268716196984
音频编辑,81,81,2.305721605465414
竟然,28,23,0.6547110731568461
带走,74,36,1.0247651579846286
跟随,37,24,0.6831767719897524
曲折,36,25,0.7116424708226587
夕阳,57,36,1.0247651579846286
委屈,56,36,1.0247651579846286
最近,54,31,0.8824366638200968
地方,150,78,2.220324508966695
触摸,31,19,0.5408482778252206
没什么,36,22,0.6262453743239397
亏欠,20,12,0.3415883859948762
地铁,21,10,0.2846569883290635
留下,138,84,2.391118701964133
下次,20,12,0.3415883859948762
理想,110,48,1.3663535439795047
后来,42,24,0.6831767719897524
明明,71,39,1.1101622544833476
春秋,21,15,0.4269854824935952
心事,42,28,0.7970395673213778
可是,159,89,2.5334471961286646
暧昧,42,19,0.5408482778252206
体会,51,24,0.6831767719897524
年轻,60,31,0.8824366638200968
真心,71,49,1.394819242812411
狼狈,20,12,0.3415883859948762
机会,43,26,0.740108169655565
一杯,45,19,0.5408482778252206
放在,30,22,0.6262453743239397
珍贵,31,21,0.5977796754910333
